type,t,p,cohens
improvement_abs_skill,76.0,0.016357421875,0.9884826815174035
improvement_abs_exercise,255.0,0.019744089290860113,0.6979451013674183
normalized_change_skill,2.306467646855826,0.019864794182798406,0.9169424238238999
normalized_change_exercise,264.5,0.006662382408431148,0.7410071993210687
